PLT_CN,INVYR,LAT,LON,ELEV,COUNTYCD,canopy_cover_pct,basal_area,total_understory_cover,seedling_tpa,ground_veg_cover,vegetation_density
558627293126144,2019,35.235245,-119.331779,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816706489998,2018,35.235813,-120.677127,100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412221405489998,2017,35.238269,-116.327867,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558628011126144,2019,35.239846,-116.56416,2700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627935126144,2019,35.240062,-116.272737,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627067126144,2019,35.240309,-120.066056,1900.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412219911489998,2017,35.242258,-119.835772,1900.0,79,0.0,0.0,0.0,0.0,0.0,0.0
484816933489998,2018,35.24354,-118.212031,4100.0,29,1.0,3.7694,32.90909090909091,0.0,0.0,4.92
412222463489998,2017,35.243907,-118.820687,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484817622489998,2018,35.24475,-117.472475,2500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627328126144,2019,35.245977,-118.460543,4900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627049126144,2019,35.246659,-119.782659,2300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412220109489998,2017,35.248114,-116.040161,1100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306911126144,2020,35.248763,-117.414946,2900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220071489998,2017,35.2523,-115.738259,3900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306881126144,2020,35.253805,-120.31018,2500.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412222620489998,2017,35.254179,-119.083063,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484817562489998,2018,35.254207,-117.178067,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306912126144,2020,35.254587,-117.117838,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412223095489998,2017,35.255508,-118.02364,2100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816713489998,2018,35.256293,-120.849477,1100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645306893126144,2020,35.257265,-118.447887,4700.0,29,15.0,45.1076,40.041666666666664,0.0,0.0,12.66
412220097489998,2017,35.258016,-115.457975,4100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306905126144,2020,35.258699,-118.128104,4300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558628040126144,2019,35.25889,-115.986531,1300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220810489998,2017,35.259751,-119.544044,1100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306879126144,2020,35.259775,-120.790154,1300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412221197489998,2017,35.259982,-119.235491,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627275126144,2019,35.260402,-119.065231,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816701489998,2018,35.263621,-120.105801,1900.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558627918126144,2019,35.263681,-115.695397,4300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306924126144,2020,35.263716,-116.829605,3700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627322126144,2019,35.264055,-117.844078,3100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627327126144,2019,35.264733,-119.489015,1100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484817005489998,2018,35.265447,-117.908034,2300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484817618489998,2018,35.266775,-116.886632,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306891126144,2020,35.267475,-120.021148,2100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558627891126144,2019,35.267696,-115.108343,4300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221785489998,2017,35.270215,-115.167624,4500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627287126144,2019,35.271337,-118.729483,900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816938489998,2018,35.272612,-119.699057,2300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484817742489998,2018,35.27347,-116.599082,3700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221461489998,2017,35.274002,-118.509745,4700.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627928126144,2019,35.275521,-115.382765,4900.0,71,30.0,82.2256,31.0,0.0,0.0,18.27
645306933126144,2020,35.275642,-116.538638,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484817535489998,2018,35.279103,-117.611902,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306934126144,2020,35.27976,-116.242802,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306922126144,2020,35.279819,-117.556263,2900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484817725489998,2018,35.282848,-116.303886,2100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221295489998,2017,35.28624,-120.594548,1300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
484817711489998,2018,35.287791,-116.017958,1300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221698489998,2017,35.290116,-118.208723,4500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627313126144,2019,35.291218,-118.904948,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306923126144,2020,35.29175,-117.264413,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306944126144,2020,35.29187,-115.953066,1700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627318126144,2019,35.292174,-119.185181,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816710489998,2018,35.292657,-119.950716,1900.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645306954126144,2020,35.294567,-115.661798,4500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816704489998,2018,35.294709,-120.541927,2100.0,79,99.0,164.3815,53.27272727272727,299.861129,0.0,56.07
484816700489998,2018,35.295305,-120.237485,3700.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412220404489998,2017,35.295574,-118.961235,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816967489998,2018,35.296531,-119.775803,4100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412220626489998,2017,35.297236,-117.940167,1900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306901126144,2020,35.297404,-120.176656,2300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
484817696489998,2018,35.300689,-115.714872,4300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484817545489998,2018,35.30129,-117.026258,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220820489998,2017,35.301894,-116.977806,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306903126144,2020,35.302964,-119.733838,2300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306890126144,2020,35.304492,-120.487276,1700.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645306904126144,2020,35.305029,-119.460196,900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816970489998,2018,35.305284,-119.521372,1300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627872126144,2019,35.306182,-116.800449,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627303126144,2019,35.30763,-118.156543,4300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306942126144,2020,35.308403,-116.680572,2700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306967126144,2020,35.308983,-115.083497,4700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221960489998,2017,35.308984,-120.851909,300.0,79,60.0,14.0527,53.0,0.0,0.0,25.94
558627272126144,2019,35.310304,-117.875785,1900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
